Full Name,Gender,Date of Birth,Parliament Name,D I P S,E O P T
Fako Moshoeshoe,Male,12.03.70,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mohau Hlalele,Male,16.03.61,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Lehloka Hlalele,Male,14.06.85,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mapulumo Hlao,Female,22.08.19,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Lefu Hlomelang,Male,05.05.60,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mahooana Khati,Male,28.11.72,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
KHOLUMO Thabang,Male,20.10.64,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Kibane Tello,Male,01.03.70,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Lethusng Kompi,Male,03.04.60,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Putsoane Leeto,Male,06.06.52,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Maletsema Lenkoane,Female,06.07.84,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Palo Leteetee,Male,07.04.57,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Motlalentoa Letsosa,Male,18.12.74,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Thuso Litjobo,Male,23.08.82,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Ntsalla Mafa,Female,23.05.61,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Thabang Mafojane,Male,11.07.64,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mothepu Mahapa,Male,29.04.84,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mankoe Maime,Male,27.09.80,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Kose Makoa,Male,15.03.63,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Desmond Mangobe,Male,25.03.61,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Motlatsi Maqelepo,Male,22.08.79,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Nto Moakhi,Male,24.04.62,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Selibe Mochooroane,Male,27.07.77,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mohapi Mohapinyane,Male,16.09.70,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Khutliso Mokhethi,Male,15.08.81,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Letsitsi Mokoma,Male,20.02.65,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Thabiso Molapo,Male,18.03.59,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Michael Molefe,Male,15.02.51,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Phamotse Molefi,Male,10.06.67,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Maeketsang Molotsi,Female,29.01.81,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Lebohang Monaheng,Male,12.08.70,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Sehloho Monatsi,Male,01.01.60,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mapenkula Monyooe,Female,17.01.67,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Tsepang Mosena,Female,06.01.77,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mantsiuoa Mosothoane,Female,08.05.64,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Masekoala Motanyane,Female,04.08.69,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Maphoka Motoboli,Female,28.04.58,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Libe Motsoane,Male,04.06.66,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Marefuoe Muso,Female,02.07.72,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mphosi Nkhase,Male,15.06.55,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Maseoehla Ntlama,Female,03.02.63,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Pheea Ntsihlele,Male,22.10.82,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Thato Ntsibolane,Male,17.08.81,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Sethunya Peea,Male,02.05.76,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Joalane Phafoli,Female,16.07.58,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Mamookho Phiri,Female,13.03.64,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Thabo Ramatla,Male,23.12.78,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Makalo Lephoto,Male,03.01.62,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Teboho Sekata,Male,04.10.71,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Sekhamane Sotlehang,Male,03.01.64,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Lepota Sekola,Male,28.06.64,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
Motlalepula Sello,Male,01.01.59,National Assembly of Lesotho,14.07.17 00:00,13.07.22 00:00
FirstNameSA2019_1 LastNameSA2019_1,Female,02.10.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_2 LastNameSA2019_2,Male,16.11.88,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_3 LastNameSA2019_3,Male,30.08.81,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_4 LastNameSA2019_4,Male,01.04.58,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_5 LastNameSA2019_5,Female,13.10.84,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_6 LastNameSA2019_6,Female,22.01.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_7 LastNameSA2019_7,Male,31.07.76,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_8 LastNameSA2019_8,Male,06.09.70,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_9 LastNameSA2019_9,Male,28.06.44,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_10 LastNameSA2019_10,Female,04.04.51,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_11 LastNameSA2019_11,Female,09.04.80,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_12 LastNameSA2019_12,Male,19.03.68,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_13 LastNameSA2019_13,Female,04.02.51,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_14 LastNameSA2019_14,Female,27.03.82,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_15 LastNameSA2019_15,Male,04.12.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_16 LastNameSA2019_16,Female,03.12.70,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_17 LastNameSA2019_17,Female,09.12.56,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_18 LastNameSA2019_18,Female,13.07.76,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_19 LastNameSA2019_19,Female,20.07.67,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_20 LastNameSA2019_20,Male,24.07.70,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_21 LastNameSA2019_21,Female,06.04.76,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_22 LastNameSA2019_22,Female,04.08.62,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_23 LastNameSA2019_23,Male,10.05.71,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_24 LastNameSA2019_24,Female,23.09.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_25 LastNameSA2019_25,Female,30.09.83,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_26 LastNameSA2019_26,Male,18.05.77,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_27 LastNameSA2019_27,Male,01.01.64,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_28 LastNameSA2019_28,Male,12.02.61,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_29 LastNameSA2019_29,Female,01.03.51,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_30 LastNameSA2019_30,Female,03.12.65,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_31 LastNameSA2019_31,Male,14.04.59,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_32 LastNameSA2019_32,Male,16.01.75,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_33 LastNameSA2019_33,Female,01.09.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_34 LastNameSA2019_34,Female,09.02.64,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
